"decade","title","rating_count","avg_rating"
"1870s","Sallie Gardner at a Gallop (1878)","22","2.91"
"1880s","Traffic Crossing Leeds Bridge (1888)","20","2.38"
"1890s","Arrival of a Train, The (1896)","70","3.15"
"1900s","Trip to the Moon, A (Voyage dans la lune, Le) (1902)","723","3.75"
"1910s","Birth of a Nation, The (1915)","420","3.11"
"1920s","Metropolis (1927)","6054","3.98"
"1930s","Wizard of Oz, The (1939)","24658","3.94"
"1940s","Casablanca (1942)","26890","4.21"
"1950s","Rear Window (1954)","20162","4.24"
"1960s","2001: A Space Odyssey (1968)","28820","3.98"
"1970s","Star Wars: Episode IV - A New Hope (1977)","68717","4.12"
"1980s","Star Wars: Episode V - The Empire Strikes Back (1980)","57361","4.14"
"1990s","Forrest Gump (1994)","81491","4.05"
"2000s","Lord of the Rings: The Fellowship of the Ring, The (2001)","55736","4.09"
"2010s","Inception (2010)","38895","4.16"
