"genre","title","rating_count","avg_rating"
"(no genres listed)","Pirates of the Caribbean: Dead Men Tell No Tales (2017)","1687","3.24"
"Action","Matrix, The (1999)","72674","4.15"
"Adventure","Star Wars: Episode IV - A New Hope (1977)","68717","4.12"
"Animation","Toy Story (1995)","57309","3.89"
"Children","Toy Story (1995)","57309","3.89"
"Comedy","Forrest Gump (1994)","81491","4.05"
"Crime","Shawshank Redemption, The (1994)","81482","4.41"
"Documentary","Bowling for Columbine (2002)","13619","3.71"
"Drama","Forrest Gump (1994)","81491","4.05"
"Fantasy","Toy Story (1995)","57309","3.89"
"Film-Noir","L.A. Confidential (1997)","27749","4.06"
"Horror","Silence of the Lambs, The (1991)","74127","4.15"
"IMAX","Apollo 13 (1995)","48377","3.87"
"Musical","Aladdin (1992)","43373","3.70"
"Mystery","Usual Suspects, The (1995)","55366","4.28"
"Romance","Forrest Gump (1994)","81491","4.05"
"Sci-Fi","Matrix, The (1999)","72674","4.15"
"Thriller","Pulp Fiction (1994)","79672","4.19"
"War","Forrest Gump (1994)","81491","4.05"
"Western","Dances with Wolves (1990)","41615","3.73"
